school,zip code,Prestige,Satisfaction,Resources & Facilities,Safety,Teacher Support,School Administration,Campus Setting,Average Score
university of dallas,75062,54.8,64.3,47.6,64.3,73.8,57.1,35.7,56.8
university of richmond,23173,54.8,71.4,69,81,69,59.5,90.5,70.74
messiah college,17055,54.7,70,66.7,90.7,82,60,78,71.73
university of san francisco,94117,54.2,59.4,47.9,58.3,75,62.5,54.2,58.79
university of tampa,33606,54.2,59.4,54.2,70.8,56.3,50,68.8,59.1
illinois wesleyan university,61701,54.2,68.8,52.1,75,75,64.6,64.6,64.9
allegheny college,16335,54.2,53.1,66.7,75,61.9,50,72.9,61.97
university of rhode island,02881,54.2,54.2,51.4,55.6,61.1,56.9,65.3,56.96
belmont university,37212,54.2,68.8,58.3,68.8,70.8,47.9,66.7,62.21
university of texas dallas,75080,54.2,64.6,74.3,71.5,70.8,55.6,41.7,61.81
troy state university main campus,36082,53.8,73.1,65.4,73.1,66.7,59,56.4,63.93
adelphi university,11794,53.8,61.5,67.9,71.8,65.4,51.3,71.8,63.36
san diego state university,92182,53.8,65.9,75,60.6,65.2,52.3,69.7,63.21
souastern louisiana university,70402,53.7,63.9,64.8,68.5,70.4,48.1,53.7,60.44
clarkson university,13699,53.7,75,61.1,87,83.3,55.6,51.9,66.8
university of north carolina greensboro,27412,53.7,62.5,77.8,62,75,57.4,68.5,65.27
whitworth college,99251,53.7,75,59.3,77.8,81.5,57.4,72.2,68.13
norrn illinois university,60115,53.5,65.6,62.5,57.6,66,54.2,60.4,59.97
regis university,80221,53.3,65,50,66.7,50,58.3,55,56.9
university of maryland global campus,20783,53.3,66.7,61.1,67.8,64.4,61.1,57.8,61.74
park university,64141,53.3,65,60,65,66.7,66.7,58.3,62.14
cuny baruch college,10010,53.3,55,56.7,61.7,58.3,33.3,53.3,53.09
university of california riverside,92521,53.1,65.6,67.7,55.2,59.4,56.3,60.4,59.67
old dominion university,23529,53.1,56.3,65.6,62.5,56.3,51,56.3,57.3
ball state university,47306,52.8,76.4,80.6,77.8,72.2,58.3,67.6,69.39
hofstra university,11549,52.8,69.4,75,70.4,70.4,47.2,73.1,65.47
pace university,10038,52.8,62.5,61.1,59.7,62.5,47.2,47.2,56.14
california state university fullerton,92831,52.6,67.1,62.3,66.7,65.8,52.6,64,61.59
university of hawaii manoa,96822,52.6,63.5,62.8,72.4,69.9,53.8,73.7,64.1
ithaca college,14850,52.4,69.6,57.1,77.4,72.6,48.8,70.2,64.01
suny buffalo,14260,52.4,57.1,74.1,57.7,45.8,47,49.4,54.79
tennessee technological university,38505,52.4,67.9,69,78.6,83.3,54.8,78.6,69.23
texas state university,78666,52.4,73.2,64.3,67.9,70.2,54.8,71.4,64.89
university of wisconsin milwaukee,53211,52.2,66.3,75.4,71.7,55.1,54.3,61.6,62.37
saint marys college,46556,52.1,53.1,54.2,79.2,77.1,56.3,75,63.86
louisiana state university shreveport,71115,52.1,53.1,60.4,81.3,70.8,62.5,47.9,61.16
wentworth institute of technology,02115,52.1,71.9,58.3,56.3,64.6,52.1,50,57.9
keene state college,03431,52.1,75,64.6,81.3,64.6,60.4,64.6,66.09
jamestown college,58401,52.1,75,43.8,52.1,52.1,47.9,50,53.29
university of houston,77204,52,63.2,72.5,46.1,66.7,48,60.8,58.47
chapman university,92866,51.9,55.6,51.9,70.4,68.5,44.4,59.3,57.43
texas tech university,79409,51.9,72.2,73.1,69.4,61.1,42.6,68.5,62.69
university of norrn colorado,80639,51.7,75,72.2,73.3,68.3,53.3,70,66.26
lewis&clark college,97219,51.7,75,63.3,75,81.7,56.7,76.7,68.59
university of south florida,33620,51.6,67.1,64,63.2,60.3,52.4,64.8,60.49
university of northern iowa,50614,51.5,75,57.6,80.3,65.2,59.1,66.7,65.06
northwest missouri state university,64468,51.5,75,75.8,65.2,75.8,66.7,77.3,69.61
university of vermont,05405,51.5,56.8,43.9,63.6,57.6,34.8,66.7,53.56
pacific luran university,98447,51.5,75,54.5,60.6,81.8,57.6,66.7,63.96
university of wisconsin eau claire,54701,51.5,75,66.7,75.8,74.2,68.2,72.7,69.16
sourn illinois university carbondale,62901,51.5,68.5,63.8,64.5,65.2,55.3,71.7,62.93
college of new jersey,08628,51.3,60.4,62.8,82.1,71.8,53.8,67.9,64.3
utah state university,84322,51.3,65.4,69.2,83.3,67.9,53.8,67.9,65.54
sonoma state university,94928,51.1,75,77.8,85.6,83.3,56.7,78.9,72.63
sam houston state university,77340,51,70.3,69.8,66.7,72.9,60.4,70.8,65.99
west texas a&m university,79016,51,75,71.9,81.3,74,69.8,68.8,70.26
california state university northridge,91330,50,57.1,70.6,69,64.3,50,62.7,60.53
florida atlantic university boca raton,33431,50,65,64.2,65,70.2,55.8,60,61.46
university of west florida,32514,50,70.8,72.2,86.1,76.4,59.7,77.8,70.43
