Zip Code,school,Type,City,State,State FIPS,Locale,Average Faculty Salary,Average SAT Score,Admission Rate,4-Year Completion Rate,Average Net Price (Public),Average Net Price (Private),Cost of Attendance (Academic Year),Median Debt of Completers,Median Earnings (8 Years After Entry),Mean Earnings (8 Years After Entry),Retention Rate,Student Faculty Ratio
24073,life pacific university virginia,14,christiansburg,VA,51,,,,,0.486187845304,,,,22395.0,37180.0,33400.0,,
68005,life chiropractic college west  bellevue university,14,bellevue,NE,31,,,,,,,,,,,,,
92007,miracosta college  san elijo campus,13,cardiff,CA,6,,,,,0.044805709754,,,,9000.0,40003.0,31800.0,,
90007,mount saint marys university  doheny campus,14,los angeles,CA,6,,,,,0.580684596577,,,,25949.0,67516.0,59400.0,,
92231,san diego state university imperial valley campus,13,calexico,CA,6,,,,,0.742664479679,,,,15000.0,61120.0,48500.0,,
95231,san joaquin general hospital school of radiation technology,13,french camp,CA,6,,,,,0.054337152209,,,,7500.0,37831.0,31800.0,,
94709,jesuit school of theology of santa clara university,14,berkeley,CA,6,,,,,0.869947275923,,,,19162.0,99543.0,74600.0,,
1360,thomas aquinas college  new england,14,northfield,MA,25,,,,,0.831325301205,,,,18000.0,49742.0,36700.0,,
92394,victor valley community college  aviation technology,13,victorville,CA,6,,,,,0.054089709763,,,,,33674.0,29300.0,,
94710,wright institute,14,berkeley,CA,6,,,,,,,,,,,,,
80014,colorado technical university denver south,15,aurora,CO,8,,,,,0.197844827586,,,,29832.0,37998.0,39700.0,,
20785,denver seminary  washington dc,14,landover,MD,24,,,,,,,,,,,,,
81050,otero college  la junta high school,13,la junta,CO,8,,,,,0.270833333333,,,,10250.0,37817.0,31000.0,,
6604,goodwin university  bridgeport campus,14,bridgeport,CT,9,,,,,0.208229426434,,,,33500.0,44170.0,40700.0,,
6082,porter and chester institute of enfield,15,enfield,CT,9,,,,,0.690292758089,,,,12000.0,42106.0,38100.0,,
6705,porter and chester institute of waterbury,15,waterbury,CT,9,,,,,0.690292758089,,,,12000.0,42106.0,38100.0,,
1606,porter and chester institute of worcester,15,worcester,MA,25,,,,,0.690292758089,,,,12000.0,42106.0,38100.0,,
6320,porter and chester institute  new london,15,new london,CT,9,,,,,0.690292758089,,,,12000.0,42106.0,38100.0,,
2301,porter and chester institute  brockton,15,brockton,MA,25,,,,,0.690292758089,,,,12000.0,42106.0,38100.0,,
1022,porter and chester institute  chicopee,15,chicopee,MA,25,,,,,0.690292758089,,,,12000.0,42106.0,38100.0,,
6320,porter and chester institute  new london,15,new london,CT,9,,,,,0.690292758089,,,,12000.0,42106.0,38100.0,,
19947,delaware technical community college owens,13,georgetown,DE,10,,,,,0.206161914127,,,,10500.0,39296.0,33700.0,,
19801,delaware technical community college stanton/wilmington,13,wilmington,DE,10,,,,,0.206161914127,,,,10500.0,39296.0,33700.0,,
32807,barry university law school,14,orlando,FL,12,,,,,0.467880085653,,,,26997.0,54823.0,47800.0,,
32901,keiser university melbourne,14,melbourne,FL,12,,,,,0.406220209724,,,,26125.0,40182.0,34200.0,,
32309,keiser university tallahassee,14,tallahassee,FL,12,,,,,0.406220209724,,,,26125.0,40182.0,34200.0,,
32114,keiser university daytona,14,daytona beach,FL,12,,,,,0.406220209724,,,,26125.0,40182.0,34200.0,,
33805,keiser university lakeland,14,lakeland,FL,12,,,,,0.406220209724,,,,26125.0,40182.0,34200.0,,
33172,keiser university miami,14,miami,FL,12,,,,,0.406220209724,,,,26125.0,40182.0,34200.0,,
32807,keiser university orlando,14,orlando,FL,12,,,,,0.406220209724,,,,26125.0,40182.0,34200.0,,
34240,keiser university sarasota,14,sarasota,FL,12,,,,,0.406220209724,,,,26125.0,40182.0,34200.0,,
32216,keiser university jacksonville,14,jacksonville,FL,12,,,,,0.406220209724,,,,26125.0,40182.0,34200.0,,
33634,keiser university tampa,14,tampa,FL,12,,,,,0.406220209724,,,,26125.0,40182.0,34200.0,,
33027,keiser university pembroke pines,14,pembroke pines,FL,12,,,,,0.406220209724,,,,26125.0,40182.0,34200.0,,
34987,keiser university port st lucie,14,port st lucie,FL,12,,,,,0.406220209724,,,,26125.0,40182.0,34200.0,,
33411,keiser university west palm beach,14,west palm beach,FL,12,,,,,0.406220209724,,,,26125.0,40182.0,34200.0,,
33905,keiser university ft myers,14,ft myers,FL,12,,,,,0.406220209724,,,,26125.0,40182.0,34200.0,,
33764,keiser university  clearwater,14,clearwater,FL,12,,,,,0.406220209724,,,,26125.0,40182.0,34200.0,,
34652,keiser university  new port richey,14,new port richey,FL,12,,,,,0.406220209724,,,,26125.0,40182.0,34200.0,,
33409,keiser university  residential,14,west palm beach,FL,12,,,,,0.406220209724,,,,26125.0,40182.0,34200.0,,
33811,maynard a traviss technical college  central florida aerospace academy,13,lakeland,FL,12,,,,,0.557142857143,,,,,35439.0,29800.0,,
33014,miami lakes educational center and technical college,13,miami lakes,FL,12,,,,,,,,,,33630.0,31300.0,,
33556,rasmussen university central pasco,15,odessa,FL,12,,,,,0.437662901825,,,,20899.0,41304.0,32700.0,,
33905,rasmussen university fort myers,15,fort myers,FL,12,,,,,0.437662901825,,,,20899.0,41304.0,32700.0,,
33511,rasmussen university tampa/brandon,15,brandon,FL,12,,,,,0.437662901825,,,,20899.0,41304.0,32700.0,,
32714,rasmussen university north orlando,15,altamonte springs,FL,12,,,,,0.437662901825,,,,20899.0,41304.0,32700.0,,
30460,east georgia state college  statesboro,13,statesboro,GA,13,,,,,0.07574704656,,,,11750.0,33723.0,31300.0,,
30912,east georgia state college  augusta,13,augusta,GA,13,,,,,0.07574704656,,,,11750.0,33723.0,31300.0,,
48170,moody theological seminary and graduate school michigan,14,plymouth,MI,26,,,,,0.557692307692,,,,18149.0,41968.0,,,
99212,moody bible institute  spokane,14,spokane,WA,53,,,,,0.557692307692,,,,18149.0,41968.0,,,
60616,triton college  intl union of operating engr local 399 trning fac,13,chicago,IL,17,,,,,0.15852205006,,,,9413.0,40153.0,33200.0,,
46112,pjs college of cosmetology brownsburg,15,brownsburg,IN,18,,,,,0.509615384615,,,,8289.0,19553.0,18300.0,,
47130,pjs college of cosmetology jeffersonville,15,jeffersonville,IN,18,,,,,0.509615384615,,,,8289.0,19553.0,18300.0,,
46601,ivy tech community college south bend/elkhart,13,south bend,IN,18,,,,,0.152813012983,,,,10727.0,34162.0,31100.0,,
47203,ivy tech community college columbus,13,columbus,IN,18,,,,,0.152813012983,,,,10727.0,34162.0,31100.0,,
47302,ivy tech community college muncie,13,muncie,IN,18,,,,,0.152813012983,,,,10727.0,34162.0,31100.0,,
46901,ivy tech community college kokomo,13,kokomo,IN,18,,,,,0.152813012983,,,,10727.0,34162.0,31100.0,,
47905,ivy tech community college lafayette,13,lafayette,IN,18,,,,,0.152813012983,,,,10727.0,34162.0,31100.0,,
46805,ivy tech community college fort wayne,13,fort wayne,IN,18,,,,,0.152813012983,,,,10727.0,34162.0,31100.0,,
47172,ivy tech community college sellersburg,13,sellersburg,IN,18,,,,,0.152813012983,,,,10727.0,34162.0,31100.0,,
