State,school,Student Enrollment,Violent Crime,Murder and Nonnegligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-Theft,Motor Vehicle Theft,Arson
CO,university of colorado denver,"29,833",2.0,0.0,1.0,1.0,0.0,148,2.0,50.0,96.0,0.0
CO,university of northern colorado,"12,017",1.0,0.0,1.0,0.0,0.0,141,3.0,127.0,11.0,0.0
CT,central connecticut state university,"11,260",3.0,0.0,3.0,0.0,0.0,38,6.0,31.0,1.0,0.0
CT,eastern connecticut state university,"4,736",1.0,0.0,1.0,0.0,0.0,3,0.0,3.0,0.0,0.0
CT,southern connecticut state university,"10,270",0.0,0.0,0.0,0.0,0.0,19,0.0,13.0,6.0,0.0
CT,university of connecticut all campuses,,6.0,0.0,3.0,2.0,1.0,133,13.0,86.0,34.0,3.0
CT,western connecticut state university,"5,567",0.0,0.0,0.0,0.0,0.0,4,0.0,4.0,0.0,0.0
CT,yale university,"15,828",7.0,0.0,2.0,1.0,4.0,294,24.0,217.0,53.0,2.0
DE,delaware state university,"5,770",15.0,0.0,5.0,1.0,9.0,81,12.0,67.0,2.0,1.0
DE,university of delaware,"25,903",5.0,0.0,3.0,0.0,2.0,140,9.0,122.0,9.0,2.0
FL,florida a&m university,"10,142",3.0,0.0,1.0,0.0,2.0,19,9.0,10.0,0.0,0.0
FL,florida atlantic university,"36,580",3.0,0.0,2.0,0.0,1.0,73,5.0,55.0,13.0,0.0
FL,florida international university,"71,842",8.0,0.0,4.0,1.0,3.0,160,13.0,147.0,0.0,0.0
FL,florida polytechnic university,"1,644",0.0,0.0,0.0,0.0,0.0,3,0.0,3.0,0.0,0.0
FL,florida state university panama city,,0.0,0.0,0.0,0.0,0.0,3,1.0,2.0,0.0,0.0
FL,florida state university tallahassee,"51,109",18.0,0.0,9.0,3.0,6.0,226,46.0,180.0,0.0,2.0
FL,new college of florida,690,2.0,0.0,0.0,0.0,2.0,21,2.0,19.0,0.0,0.0
FL,santa fe college,"17,038",0.0,0.0,0.0,0.0,0.0,10,1.0,9.0,0.0,0.0
FL,university of central florida,"82,075",13.0,1.0,4.0,3.0,5.0,154,12.0,122.0,20.0,0.0
FL,university of florida,"62,839",12.0,0.0,5.0,1.0,6.0,237,15.0,222.0,0.0,0.0
FL,university of north florida,"19,743",7.0,0.0,3.0,2.0,2.0,71,2.0,59.0,10.0,0.0
FL,university of west florida,"16,786",2.0,0.0,2.0,0.0,0.0,27,1.0,26.0,0.0,0.0
GA,abraham baldwin agricultural college,"4,506",2.0,0.0,2.0,0.0,0.0,12,0.0,11.0,1.0,0.0
GA,albany technical college,"3,764",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
GA,athens technical college,"5,404",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
GA,augusta technical college,"5,404",0.0,0.0,0.0,0.0,0.0,2,0.0,2.0,0.0,0.0
GA,augusta university,"10,103",2.0,0.0,1.0,0.0,1.0,126,9.0,109.0,8.0,0.0
GA,berry college,"2,467",1.0,0.0,1.0,0.0,0.0,9,1.0,8.0,0.0,0.0
GA,chattahoochee technical college,"12,892",0.0,0.0,0.0,0.0,0.0,3,0.0,3.0,0.0,0.0
GA,clayton state university,"8,179",3.0,0.0,2.0,0.0,1.0,26,2.0,16.0,8.0,0.0
GA,emory university,"16,112",14.0,0.0,7.0,2.0,5.0,283,23.0,251.0,9.0,0.0
GA,fort valley state university,"3,083",1.0,0.0,1.0,0.0,0.0,23,1.0,19.0,3.0,0.0
GA,georgia college and state university,"7,823",1.0,0.0,1.0,0.0,0.0,25,2.0,19.0,4.0,0.0
GA,georgia gwinnett college,"13,485",5.0,0.0,2.0,1.0,2.0,32,0.0,32.0,0.0,0.0
GA,georgia highlands college,"6,759",0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0
GA,georgia institute of technology,"52,051",8.0,0.0,3.0,1.0,4.0,346,28.0,218.0,100.0,3.0
GA,georgia military college,"11,895",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
GA,georgia northwestern technical college,"8,484",0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0
GA,georgia piedmont technical college,"3,811",0.0,0.0,0.0,0.0,0.0,5,0.0,4.0,1.0,2.0
GA,georgia southern university,"31,296",3.0,0.0,2.0,1.0,0.0,84,4.0,75.0,5.0,0.0
GA,georgia southwestern state university,"3,893",0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0
GA,georgia state university,"43,099",7.0,0.0,3.0,1.0,3.0,159,8.0,142.0,9.0,0.0
GA,gordon state college,"3,680",2.0,0.0,1.0,0.0,1.0,8,3.0,3.0,2.0,0.0
GA,gwinnett technical college,"11,022",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
GA,kennesaw state university,"49,988",3.0,0.0,2.0,1.0,0.0,66,5.0,57.0,4.0,0.0
GA,mercer university,"10,454",2.0,0.0,1.0,1.0,0.0,65,0.0,59.0,6.0,0.0
GA,middle georgia state university,"9,816",1.0,0.0,1.0,0.0,0.0,27,2.0,22.0,3.0,0.0
GA,morehouse college,"2,924",1.0,0.0,1.0,0.0,0.0,25,3.0,21.0,1.0,0.0
GA,piedmont college,"2,632",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
GA,southern regional technical college,"5,923",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
GA,university of north georgia,"22,132",1.0,0.0,1.0,0.0,0.0,10,4.0,6.0,0.0,0.0
GA,university of west georgia,"15,339",1.0,0.0,1.0,0.0,0.0,31,1.0,30.0,0.0,0.0
GA,west georgia technical college,"9,047",0.0,0.0,0.0,0.0,0.0,7,1.0,6.0,0.0,0.0
IL,chicago state university,"3,050",1.0,0.0,1.0,0.0,0.0,5,1.0,4.0,0.0,0.0
IL,college of dupage,"35,659",0.0,0.0,0.0,0.0,0.0,8,1.0,7.0,0.0,0.0
IL,college of lake county,"20,056",0.0,0.0,0.0,0.0,0.0,8,0.0,8.0,0.0,0.0
IL,eastern illinois university,"10,588",5.0,0.0,4.0,1.0,0.0,39,2.0,33.0,4.0,0.0
